FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,060038,Frosinone,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.3,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,060038,Frosinone,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.5,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,060038,Frosinone,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.7,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2018,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2019,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2020,0.1,,,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.2,,,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.3,,,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITFG,Mezzogiorno,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.4,,,ITTER107__ITFG_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2018,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2019,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2020,0.1,,,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.2,,,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.3,,,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,ITF,Sud,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.4,,,ITTER107__ITF_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2018,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2019,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2020,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.3,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.5,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,066049,'L"'Aquila',FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.6,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2018,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2019,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2020,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.3,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.4,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,067041,Teramo,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.6,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2018,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2019,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2020,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.3,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.4,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,068028,Pescara,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.6,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2018,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2019,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2020,0.1,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2021,0.3,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2022,0.3,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,069022,Chieti,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2023,0.5,,,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,070006,Campobasso,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,070006,Campobasso,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
A,Annuale,070006,Campobasso,FULEPCAR100,Autovetture elettriche (classe Euro non applicabile) - per 100 autovetture,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,,,TIPO_DATO_AMB__FULEPCAR100_N1,Autovetture a trazione esclusivamente elettrica o altre a emissioni zero,,,,,,,,
